prev_label,type,label,text
FAQ.3,exp,Z.K1,"Selbst wenn, ändert das jedoch nichts daran, dass KI in der Medizin dazu führt, dass Patient*innen alleine bleiben, weil sie keine menschliche Zuwendung bekommen. Persönlicher Kontakt mit Ärzt*innen und aufmunternder Zuspruch kann schon zu einer Verbesserung des Zustands beitragen."
Z.K1,user,Z.K7-1,Aber dafür muss man keine teuren Ärzte anstellen. Sondern man kann Sozialpädagogen oder Therapeuten anstellen die sich tatsächlich mit der Psyche auskennen und die richtigen Worte finden können.
Z.K1,user,Z.P7,Oft haben Ärzte überhaupt nicht die Zeit und den Willen Patienten die nötige Zuneigung und Aufmerksamkeit zu geben die ein kranker Mensch benötigt.
Z.K5,user,Z.P7,Ich kenne viele Ärzte die sehr launisch sind und wenig Motivation zeigen sich wirklich um die Therapie zu kümmern und richtige Entscheidungen zu treffen. Sie sind von dem Gesundheitssystem ausgelaugt und versuche eher Geld zu verdienen
Z.P7,exp,Z.K3,Bei Fehlentscheidungen der KI werden sehr hohe Schadensersatzforderungen entstehen und die Hersteller*innen könnten für diese Fehlentscheidungen der KI verantwortlich gemacht werden. Die Anreize für die Hersteller*innen eine KI zu entwickeln würden wegfallen. Das spricht gegen den Einsatz von KI.
Z.K3,user,Z.P7,Aber treffen nicht auch Ärzte oft Fehlentscheidungen? Und gehen wir in diesem Szenario nicht davon aus dass KI nicht genauso gute Ergebnisse liefern wie Ärzte im Durchschnitt?
Z.P7,exp,Z.K3-2,"Fehlerfreie Entscheidungen sind in der Medizin unmöglich. Es geht immer nur darum, möglichst gut zu sein. Wenn, wie in unserem Szenario, eine KI mindestens die gleiche Leistungsfähigkeit wie Fachärzt*innen aufweist, sollte kein Schadenersatz in den Fällen, wo sie Fehler macht, gezahlt werden, da menschliche Ärzt*innen für Fehldiagnosen auch keinen Schadenersatz zahlen müssen außer bei grober Fahrlässigkeit. Wenn allerdings die Rechtsprechung hohen Schadenersatz bei jedem Fehler der KI verlangen würde, würde die KI nicht einsetzbar sein - zum Schaden der Patienten, denen eine bessere Diagnostik vorenthalten wird."
Z.P7,exp,Z.K4,"Probleme der KI sind nicht nur solche anfänglicher Art, sondern vielmehr grundsätzlicher Art, wie Strukturfehler im System. Während Fehler von einzelnen Ärzt*innen gemacht werden, wird eine fehlerhafte KI an zahlreichen Standorten eingesetzt, wodurch Fehler deutlich gravierender ausfallen können."
Z.K2-2,exp,Z.K9,Durch die große Menge gesammelter Daten werden Kliniken interessanter für Cyberangriffe.
Z.K9,user,Z.K9-1,"Ist das nicht ein generelles Problem, für das gute teure Spezialisten angestellt werden? Es müssen definitiv Regelungen existieren die festlegen dass eine Klinik einen guten sicheren Umgang mit den Daten hat."
Z.K9-1,exp,Z.K9-1,"Mit der zunehmenden Digitalisierung, etwa mit Einführung der digitalen Patient*innenakte, müssen sich Kliniken ohnehin stärker gegen Cyberangriffe schützen. Die fertigen Systeme laufen im geschützten Bereich der Klinik und unterliegen dem gleichen Schutz wie Patient*innendaten."
Z.U,user,Z.P2,Es gibt ermüdete Ärzte die überhaupt nicht mehr praktizieren sollten. Die nicht mehr wirklich an dem Wohl ihrer Patienten interessiert sind. Sie machen Fehler und geben diese ungern zu. Dazu kommt dass wenn spontan Probleme bei den Patienten auftreten sie gerne mal faul reagieren und gar nicht gute neue Therapieideen liefern
Z.P2,exp,Z.P2,Die Anwendung einer KI ist standardisiert und reproduzierbar. Sie hängt nicht von den unterschiedlichen Fähigkeiten oder der Tagesform der behandelnden Ärzt*innen ab. Stattdessen liefert sie gleichbleibend gute Ergebnisse und ermüdet im Gegesatz zum menschlichen Gehirn nicht.
,user,Z.P5,"Sollte dies der Fall sein, können Ärzt*innen entlastet werden, wodurch sie mehr Zeit für andere Dinge, wie Forschung, Patientengespräche, etc. haben."
Z.K8,user,Z.K10-1,"Naja das ist schwierig. Man könnte es aufteilen, die KI stellt Diagnosen und ein Mensch übermittelt diese dann auf empathische Weiße"
NZ.U,exp,Z.K9,"Wenn Menschen, wie vorgeschlagen, die Diagnose übermitteln, würde die Zeitersparnis wieder geringer werden. Was sagst du dazu: Durch die große Menge gesammelter Daten werden Kliniken interessanter für Cyberangriffe."
Z.K9,user,Z.K9-1,allerdings wird das ebenfalls in vielen Branchen der Fall sein. Krankenhäuser oder allgemein das Gesundheitssystem müssen viel in IT-Sicherheit investieren.
Z.U,exp,Z.K3,Das wäre hinsichtlich einer besseren Patientenversorgung sicherlich wünschenswert. Im Rahmen der Kosten ist auch dies wichtig: Bei Fehlentscheidungen der KI werden sehr hohe Schadensersatzforderungen entstehen und die Hersteller*innen könnten für diese Fehlentscheidungen der KI verantwortlich gemacht werden. Die Anreize für die Hersteller*innen eine KI zu entwickeln würden wegfallen.
Z.K3,user,Z.K11-1,"Menschen können zudem auch Fehler unterlaufen und wegen Schönheitsfehler verklagt werden. Es ist wichtig, dass die KI mehr als ausreichend viele Tests und Prüfungen bestehen muss vor ihrer Zulassung."
Z.K11-1,exp,Z.P3,"Das sind gute Argumente. Darüber hinaus spricht auch das für die Zulassung einer KI: Patient*innen haben ein Recht auf die neuesten evidenzbasierten Empfehlungen hinsichtlich ihrer Therapie. Eine KI ist, im Gegensatz zu Ärzt*innen, die sich mühsam weiterbilden müssen, immer auf dem aktuellen Stand der Forschung. Dadurch können neue Behandlungsmethoden schneller eröffnet werden als im konventionelle Medizinbetrieb."
NZ.U,exp,Z.P1,"Eine KI wäre rund um die Uhr erreichbar; in der Nacht oder am Wochenende, wenn auch nur in einer Notbesetzung mit medizinischem Hilfspersonal. Das ließe sich ohne KI sonst nur in großen Kliniken sicherstellen und wäre auf dem Land nicht möglich."
NZ.U,exp,Z.K10-1,"In unserem Szenario werden die Menschen in Untersuchungszentren durch medizinisches Personal krankheitsbedingt untersucht. Die Ergebnisse werden von der KI ausgewertet und anhand dessen Diagnosen und therapeutische Entscheidungen getroffen. Es ist davon auszugehen, dass das Vertrauen der Patient*innen mit steigender Leistung der KI sichtlich steigen wird, zumal besonders schwierige Fälle an Kompetenzzentren mit den besten Fachärzt*innen überwiesen werden."
Z.K10-1,user,Z.P5,"Ich vermute, dass in einem fortgeschrittenen Stadium eine KI die kosten verringern wird, da sie die Arbeit von mehr Menschen übernehmen kann, als neuer Arbeitsaufwand durch sie entsteht."
Z.P5,exp,Z.P5,"Der Einsatz von KI ist unter mehreren Gesichtspunkten kostengünstiger. Es können unter anderem Personalkosten eingespart werden, wenn die KI Arbeiten von Ärzt*innen übernehmen kann. Durch die vielseitigen Vorteile des Einsatzes von KI könnte eine qualitätsgesicherte Patientenversorgung bei zugleich hoher Wirtschaftlichkeit erreicht werden."
Z.P5,exp,Z.K5,"Bei der Diagnostik und Therapieentscheidung sind die Erklärungen der Ergebnisse wichtig, da letztlich die Patient*innen ihrer Therapie zustimmen müssen. Eine KI tut sich schwer eine auf das intellektuelle Niveau der Patient*innen angepasste Erklärung zu liefern."
Z.P5,user,NZ.K10,"Daher darf sich nicht rein auf die KI verlassen werden. Es müssen weiterhin ausreichend Ärzt*innen vorhanden sein, die sich um die Patientenkommunikation kümmern können."
,user,Z.GK1,"Ich bin mir nicht sicher, in wie weit KI schon moralisch genug sind, um über Leben zu entscheiden."
Z.GK1,exp,Z.P2,Die Anwendung einer KI ist standardisiert und reproduzierbar. Sie hängt nicht von den unterschiedlichen Fähigkeiten oder der Tagesform der behandelnden Ärzt*innen ab. Stattdessen liefert sie gleichbleibend gute Ergebnisse und ermüdet im Gegesatz zum menschlichen Gehirn nicht.
nz_trans_1,user,Z.K2,"Das ist richtig, aber ich kann mir einfach noch nicht vorstellen, dass die KI auch menschliche Entscheidungen treffen kann. Ich weiß, dass KI's irgendwann so spezialisiert sind, das sie die gleichen fachlichen Fähigkeiten wie Ärzt*innen haben. Aber wie steht es um den Menschen, dessen Leben und dessen Geschichte. Ich finde, die KI sollte als Unterstützung der Ärzt*innen da sein, aber diese nie ersetzen"
Z.K2,exp,Z.K10-1,"In unserem Szenario werden die Menschen in Untersuchungszentren durch medizinisches Personal krankheitsbedingt untersucht. Die Ergebnisse werden von der KI ausgewertet und anhand dessen Diagnosen und therapeutische Entscheidungen getroffen. Es ist davon auszugehen, dass das Vertrauen der Patient*innen mit steigender Leistung der KI sichtlich steigen wird, zumal besonders schwierige Fälle an Kompetenzzentren mit den besten Fachärzt*innen überwiesen werden."
Z.K10-1,user,NZ.K10,"Solange wie die therapeutischen Entscheidungen nochmal vom medizinischen Personal geprüft wird und nicht blind durchgereicht wird, bin ich vollkommen dafür, dass die KI unterstützen sollte. Vielleicht werden dadurch sogar menschliche Fehler, die nun mal passieren können, minimiert"
NZ.K10,exp,Z.K1,"KI in der Medizin führt dazu, dass Patient*innen alleine bleiben, weil sie keine menschliche Zuwendung bekommen. Persönlicher Kontakt mit Ärzt*innen und aufmunternder Zuspruch kann schon zu einer Verbesserung des Zustands beitragen."
Z.U,exp,Z.P4,"In vielen medizinischen Bereichen übersteigt die Nachfrage an Fachpersonal das Angebot, da ärztliche Leistungen immer mehr in Anspruch genommen werden. Gerade durch das Altern der sogenannten Babyboomer, sprich Menschen der geburtenstarken Jahrgänge von 1955 bis 1969, wird es zu einem vorübergehend ansteigenden Versorgungsbedarf kommen. Die KI kann für Abhilfe sorgen und mithilfe ihres Einsatzes auch dem demografischen Wandel in ländlichen Regionen begegnen. Dieser zeigt sich unter anderem ebenfalls im Mangel von Ärzt*innen in diesen Gebieten."
Z.U,exp,Z.K3,Bei Fehlentscheidungen der KI werden sehr hohe Schadensersatzforderungen entstehen und die Hersteller*innen könnten für diese Fehlentscheidungen der KI verantwortlich gemacht werden. Die Anreize für die Hersteller*innen eine KI zu entwickeln würden wegfallen.
Z.P4,user,Z.K3-2,"Ich denke, dass das kein Problem sein wird. In Deutschland sichert sich jeder mehrfach ab. Ich denke, dass der Patient mithilfe eines Videos oder eines Schriftstücks darüber aufgeklärt wird, wie die KI funktioniert, wie sie entscheidet usw. Dann muss der Patient sicherlich eine Einverständniserklärung unterschreiben, dass es Risiken bei der Behandlung durch eine KI geben könnte und dass diese Risiken bei x Prozent liegen und dann ist gut. Das Gleiche muss man jetzt schon bei jeder Impfung machen und darum gibt es ja die Nebenwirkungswarnungen bei Medikamenten. Das wird sich denke ich bei KI's auch so einspielen. Und dann wird es irgendwann ganz normal sein."
Z.K3-2,exp,Z.K4,"Probleme der KI sind nicht nur solche anfänglicher Art, sondern vielmehr grundsätzlicher Art, wie Strukturfehler im System. Während Fehler von einzelnen Ärzt*innen gemacht werden, wird eine fehlerhafte KI an zahlreichen Standorten eingesetzt, wodurch Fehler deutlich gravierender ausfallen können."
Z.K4,user,NZ.K10,"Deswegen bin ich der Meinung, ein KI sollte niemals so mächtige Entscheidungen ohne Ärzt*innen treffen dürfen, wodurch die KI zu Rechenschaft gezogen werden könnte."
Z.K4,user,FAQ.2,"Die Frage ist doch auch, über welchen Zeitraum sprechen wir hier? Wie lang muss eine KI lernen, um ""perfekte"" Aussagen treffen zu können. Wie lange wird diese Entscheidungen durch Menschen geprüft, bis man sie allein arbeiten lassen kann. Ich denke, dass wir da über Jahrzehnte sprechen."
Z.K4,user,Z.K12-1,"Und wir sprechen dann über Generationen, die nichts mit KI anfangen können. Irgendwann gibt es diese Generation nicht mehr und die nächste Generation, welche diesem Thema offen gegenüber ist, wird sich von der KI behandeln lassen müssen. Und da wird das Verständnis größer sein."
FAQ.2,exp,Z.K4-1,Auch anfängliche Strukturfehler können behoben werden. Unter anderem können durch ein zentrales Meldesystem Fehler schnell gesammlt und zur Verbesserung verwendet werden.
nz_trans_1,user,Z.K10,"Das hatte ich auch gemeint. Die KI wird mit der Zeit immer mehr lernen und dadurch die Fehler gegen Null minimieren. Trotzdem muss die KI in der Gesellschaft akzeptiert werden um zu einer ärztlichen Zulassung zugelassen zu werden. Und bis dahin ist es noch ein weiter Weg. Und dafür muss auch das Verständnis, was eine KI ist und was sie tut, in der Gesellschaft ankommen."
Z.K10,exp,Z.P3,"Patient*innen haben ein Recht auf die neuesten evidenzbasierten Empfehlungen hinsichtlich ihrer Therapie. Eine KI ist, im Gegensatz zu Ärzt*innen, die sich mühsam weiterbilden müssen, immer auf dem aktuellen Stand der Forschung. Dadurch können neue Behandlungsmethoden schneller eröffnet werden als im konventionelle Medizinbetrieb."
Z.P3,user,NZ.K10,Das finde ich klasse und da bin ich komplett dafür. In dieser Funktion ist die KI aber meiner Meinung nach ein Helfer für die Ärzt*innen. Ich würde es in diesem Fall mit einer hochintelligenten Wissensquelle für Ärzt*innen vergleichen. Aber muss dann wirklich auch die KI die endgültige Entscheidung treffen? Die Entscheidung können doch dann die Ärzt*innen mit dem so erlangten Wissen treffen.
NZ.K10,exp,FAQ.G1,"Verfügbar ist die KI ausschließlich in Untersuchungszentren, in denen medizinisches Fachpersonal die Behandlungsdaten erfasst. Sie kann mit Patient*innen in natürlicher Sprache kommunizieren und fordert ggf. weitere technische Untersuchungen an. Nur in besonders schwierigen Fällen werden Fälle an Kompetenzzentren mit den besten Fachärzt*innen überwiesen. Die Fachärtzt*innen und Informatiker*innen dieser Kompetenzzentren übernehmen ebenfalls die Weiterentwicklung und Überwachung der KI."
FAQ.G1,user,FAQ.1,"Ok, ich verstehe. Es ist schwer für mich, jetzt zu verstehen, wie die KI in diesen Untersuchungen an verlässliche Daten kommt. Schon wenn es darum geht, dass die Patient*innen ihre Beschwerden beschreiben sollen und die KI diese entgegennimmt, schleichen sich meiner Meinung nach zu viele mögliche Fehler ein. Jeder Mensch nimmt jede Krankheit ein wenig anderes wahr. Ich kann mir im Moment nur Vorstellen, dass die KI mit richtigen Daten arbeiten kann wie Blutbilder, Daten aus Urinproben usw. Weiter kann ich mir das einfach noch nicht vorstellen."
FAQ.1,exp,Z.P6,"Für die KI spricht, dass sie angeben kann, mit welcher Wahrscheinlichkeit sie von dem Vorliegen der diagnostizierten Krankheit ausgeht."
,user,Z.K2,"Hallo Wall-E, ich bin gegen dieses Szenario. Patienten sind deutlich vielschichtiger, als dass es ein Computer/eine KI in ausreichendem Maße jemals erfassen könnte (meiner Meinung nach). Man nehme beispielsweise Patienten, die wegen erfundener oder auch vorgezogener Gründe eine Notaufnahme besuchen. Ein häuslicher Sturz/starke Schmerzen/ angebliche Symptome. Auch diese Menschen haben Probleme, derer man sich annehmen muss. Aber es sind vielleicht nicht die Schmerzen in der Hüfte, die den alleine wohnenden 80-Jährigen beschäftigen, sondern dass er in Wahrheit nicht zuhause zurecht kommt. Oder aber die wiederkehrenden Bluthochdruckkrisen der über 70-Järhigen älteren Dame, die nicht auf eine tiefergehende zu diagnostizierende Ursache zurückzuführen sind, sondern darauf, dass die Medikamenteneinnahme nicht richtig durchgeführt wird, da sie die Tabletten nicht auseinander halten kann. Ein weiteres Beispiel ist der aufgeschürfte/geprellte Ellenbogen einer jungen Frau, der nach einem Röntgenbild keiner weiteren Behandlung bedarf, während die Frau aber auch Prellungen im Gesicht und anderswo hat, die sie zu verstecken sucht, und eine Gewalttat andeuten. Eine KI könnte auf die geschilderten Symptome achten, daraus Schlussfolgerungen ziehen (der verletzte Ellenbogen muss untersucht werden) und dabei den Rest übersehen."
Z.P2,user,Z.K2,"Ich möchte nochmal auf mein erste These und deine Antwort darauf eingehen: Ich finde, dass mein Argument zur Bedeutung der sozialen Hintergründe im individuellen Krankheitsfall nicht ausreichend durch die Aussage ""Krankheitsbilder seien ähnlich"" zusammengefasst wird. Vielmehr ist es eben genau der (feine) Unterschied zwischen den einzelnen Fällen und den Ausprägungen der Krankheitsbilder, der die Schwierigkeiten ausmacht."
Z.P2,user,Z.P2,"Nun zu deinem neuen Argument: Du hast Recht, wenn du sagst der Mensch ermüdet und ist zu unterschiedlichen Tageszeiten unterschiedlich leistungsfähig."
Z.P2,user,Z.P4,"Dies wirft das Augenmerk aber eher auf das aktuelle Problem des Gesundheitssystem, in dem aus ökonomischen Gründen Ärzte an und über ihre Belastungsgrenzen getrieben werden, keine einheitlichen Ausbildungskonzepte vorliegen oder eingehalten werden und ein genereller Ärztemangel herrscht. Dadurch wird nicht sichergestellt wird, dass die optimalen Voraussetzungen für die ärztliche Entscheidungsfindung gegeben sind."
Z.K2,exp,Z.K5-1,"Die Erklärungen der KI werden für die Mehrzahl der Patient*innen ausreichend gut sein, auch wenn die meisten Ärtz*innen wahrscheinlich besser auf Patient*innen eingehen können. Häufig unterbleibt dies jedoch aus Zeitmangel. In unserem Szenario sollte medizinisches Personal der Untersuchungszentren die Diagnosen und Therapien der KI auf Wunsch der Patient*innen erläutern können."
Z.K5-1,user,Z.K5,"Dass es über die Behandlung hinausreichende Erklärungen zu Diagnostik und Therapie geben soll, finde ich begrüßenswert. Doch sehe ich hier eher eine Aufgabe, die durch die KI durchgeführt werden kann."
Z.K5,exp,Z.P4-1,Es erscheint jedoch vorzugswürdig dem Mangel von Ärzt*innen in ländlichen Regionen mithilfe anderweitiger Investitionen vorzubeugen.
Z.K5,user,NZ.K10,"Ja, das ist einleuchtend. Insofern stimme ich dir zu, dass Erläuterungen von Menschen erbracht werden sollten. Aber meiner Meinung nach ist dies Aufgabe der Ärzte. Medizinisches Hilfspersonal kann Erklärungen und Entscheidungswege nur bis zu einem gewissen Grad geben. Dieser individuell unterschiedlich und hängt von der Erfahrung und der Ausbildung des medizinischen Hilfspersonal ab, weswegen es idealerweise die Ärzte sein sollten, die die Erklärungen liefern, oder aber über die Delegation dieser Aufgabe entscheiden. Weiterhin sehe ich auch bei der Entscheidungsfindung die Ärzte in der Pflicht. Eine KI kann aufgrund ihrer Struktur jegliches medizinisches Wissen zugleich bereitstellen, sollte jedoch in meinen Augen eher als ""Werkzeug"" gesehen werden, das von Ärzten täglich angewandt wird. Zum Beispiel in dem es alle Entscheidungsmöglichkeiten auflistet die theoretisch denkbar sind, diese werden dann von Arzt/Ärztin gefiltert/sortiert/ergänzt (man denke an ""Off-label-Use"") und so dem Patienten zur gemeinsamen Entscheidungsfindung präsentiert."
Z.U,exp,Z.K10-1,"In unserem Szenario werden die Menschen in Untersuchungszentren durch medizinisches Personal krankheitsbedingt untersucht. Die Ergebnisse werden von der KI ausgewertet und anhand dessen Diagnosen und therapeutische Entscheidungen getroffen. Es ist davon auszugehen, dass das Vertrauen der Patient*innen mit steigender Leistung der KI sichtlich steigen wird, zumal besonders schwierige Fälle an Kompetenzzentren mit den besten Fachärzt*innen überwiesen werden."
