,scenario,label,split,count
0,MEDAI,Z.K1,train,109
1,MEDAI,Z.P3,train,12
2,MEDAI,Z.P4-1,train,16
3,MEDAI,Z.K2,train,66
4,MEDAI,Z.K6,train,40
5,MEDAI,Z.K7,train,77
6,MEDAI,Z.P4,train,14
7,MEDAI,Z.P5,train,20
8,MEDAI,NZ.K10,train,143
9,MEDAI,Z.K15,train,37
10,MEDAI,Z.P1-1,train,22
11,MEDAI,Z.K10,train,36
12,MEDAI,Z.P3-1,train,5
13,MEDAI,Z.P6,train,42
14,MEDAI,Z.P2,train,24
15,MEDAI,Z.K4,train,4
16,MEDAI,Z.K8,train,23
17,MEDAI,Z.K14,train,45
18,MEDAI,Z.K9,train,19
19,MEDAI,NZ.K9,train,11
20,MEDAI,Z.K5,train,3
21,MEDAI,Z.K3,train,39
22,MEDAI,FAQ.2,train,9
23,MEDAI,Z.K3-1,train,6
24,MEDAI,Z.K1-1,train,7
25,MEDAI,Z.K10-2,train,2
26,MEDAI,Z.K14-1,train,3
27,MEDAI,Z.K15-1,train,19
28,MEDAI,FAQ.3,train,11
29,MEDAI,Z.P1,train,35
30,MEDAI,Z.K16,train,9
31,MEDAI,FAQ.7,train,12
32,MEDAI,Z.K4-1,train,7
33,MEDAI,Z.P1-1-1,train,7
34,MEDAI,Z.K7-1,train,9
35,MEDAI,Z.K5-1,train,3
36,MEDAI,Z.K18,train,22
37,MEDAI,Z.K19,train,18
38,MEDAI,FAQ.5,train,1
39,MEDAI,Z.K13,train,8
40,MEDAI,Z.K18-1,train,3
41,MEDAI,Z.K12,train,1
42,MEDAI,FAQ.8,train,1
43,MEDAI,NZ.K3,train,5
44,MEDAI,NZ.K8,train,6
45,MEDAI,Z.P3-1-1,train,5
46,MEDAI,Z.P7,train,2
47,MEDAI,Z.P5-1,train,3
48,MEDAI,NZ.K4,train,1
49,MEDAI,Z.P6-1-1,train,1
50,MEDAI,Z.K8-1,train,4
51,MEDAI,FAQ.1,train,2
52,MEDAI,Z.K11,train,6
53,MEDAI,NZ.K1,train,1
54,MEDAI,NZ.K6,train,4
55,MEDAI,Z.K10-1,train,1
56,MEDAI,Z.P7-1,train,7
57,MEDAI,Z.K3-1-1,train,1
58,MEDAI,Z.K9-1,train,1
59,MEDAI,Z.K20,train,1
60,MEDAI,NZ.K11,train,4
61,MEDAI,Z.K8-2,train,1
62,MEDAI,Z.P3-2,train,5
63,MEDAI,Z.P6-1,train,2
64,MEDAI,FAQ.6,train,1
65,MEDAI,Z.K13-1,train,1
66,MEDAI,Z.K6-1,train,1
67,MEDAI,Z.K16-1,train,2
68,MEDAI,Z.K2-4,train,1
69,MEDAI,Z.K1-2,train,1
70,MEDAI,NZ.P1,train,1
71,MEDAI,Z.K12-1,train,1
72,JURAI,Z.K2,train,14
73,JURAI,Z.K4,train,7
74,JURAI,Z.P4-1,train,13
75,JURAI,Z.K5,train,3
76,JURAI,Z.K6-1-1,train,5
77,JURAI,Z.P1,train,21
78,JURAI,Z.P3-1-1,train,3
79,JURAI,Z.P4,train,6
80,JURAI,Z.K6-1,train,2
81,JURAI,Z.P3,train,9
82,JURAI,Z.K2-1-2-1,train,1
83,JURAI,Z.P2,train,15
84,JURAI,Z.K4-1,train,2
85,JURAI,Z.P1-1,train,30
86,JURAI,Z.P1-2,train,8
87,JURAI,Z.K6,train,9
88,JURAI,Z.K14,train,13
89,JURAI,Z.P8,train,12
90,JURAI,NZ.K10,train,10
91,JURAI,Z.K6-1-1-1,train,3
92,JURAI,Z.K10-1,train,3
93,JURAI,Z.P3-1,train,1
94,JURAI,FAQ.6,train,1
95,JURAI,Z.K3,train,3
96,JURAI,Z.P2-2,train,1
97,JURAI,FAQ.1,train,1
98,JURAI,Z.K11-1,train,1
99,JURAI,NZ.K2,train,1
100,JURAI,Z.K9-1,train,1
101,JURAI,Z.P8-2,train,3
102,JURAI,Z.K9,train,3
103,JURAI,Z.K3-2,train,2
104,JURAI,Z.P3-1-2,train,1
105,JURAI,Z.P5-1,train,1
106,JURAI,Z.P1-1-1,train,2
107,JURAI,Z.P2-1,train,1
108,JURAI,FAQ.5,train,1
109,JURAI,Z.K11,train,1
110,JURAI,Z.K7,train,1
111,JURAI,Z.K16,train,2
112,JURAI,FAQ.4,train,1
113,JURAI,Z.K6-2,train,2
114,JURAI,Z.P5,train,1
115,JURAI,Z.K3-1,train,1
116,JURAI,Z.K12,train,1
117,JURAI,Z.K15,train,1
118,JURAI,Z.K10,train,2
119,JURAI,Z.K7-2,train,1
120,JURAI,Z.K2-1,train,1
121,AUTOAI,Z.C5-3,train,19
122,AUTOAI,Z.P11,train,99
123,AUTOAI,Z.P8-1,train,22
124,AUTOAI,Z.C3-2,train,7
125,AUTOAI,Z.P8-1-2,train,37
126,AUTOAI,Z.C5,train,9
127,AUTOAI,Z.P12,train,44
128,AUTOAI,Z.C8-1,train,11
129,AUTOAI,Z.P2-1,train,10
130,AUTOAI,Z.P8,train,26
131,AUTOAI,Z.C11,train,29
132,AUTOAI,Z.P1-1,train,9
133,AUTOAI,Z.P9,train,7
134,AUTOAI,Z.C6-3-1,train,5
135,AUTOAI,Z.P10-2,train,1
136,AUTOAI,Z.P2,train,29
137,AUTOAI,Z.C12,train,3
138,AUTOAI,Z.P4,train,2
139,AUTOAI,Z.P10-1-1,train,9
140,AUTOAI,Z.P6,train,12
141,AUTOAI,Z.P12-1-3,train,7
142,AUTOAI,Z.P12-1-2,train,3
143,AUTOAI,Z.C10-1,train,6
144,AUTOAI,Z.C2-1,train,12
145,AUTOAI,Z.C4-1,train,6
146,AUTOAI,Z.C11-1,train,14
147,AUTOAI,Z.C5-2,train,9
148,AUTOAI,Z.P1,train,19
149,AUTOAI,Z.C3,train,39
150,AUTOAI,Z.C5-1-1-1-1,train,2
151,AUTOAI,Z.C5-1,train,4
152,AUTOAI,Z.P10-1,train,8
153,AUTOAI,Z.P4-1,train,4
154,AUTOAI,NZ.K10,train,12
155,AUTOAI,Z.C4,train,10
156,AUTOAI,Z.C10,train,6
157,AUTOAI,Z.C6,train,17
158,AUTOAI,Z.P11-1-1,train,8
159,AUTOAI,Z.P12-2,train,5
160,AUTOAI,Z.P5,train,7
161,AUTOAI,Z.P8-1-1,train,4
162,AUTOAI,Z.C4-1-2,train,7
163,AUTOAI,Z.P12-1,train,5
164,AUTOAI,Z.C7,train,8
165,AUTOAI,Z.P9-1,train,1
166,AUTOAI,Z.P14,train,4
167,AUTOAI,Z.P15,train,1
168,AUTOAI,Z.P6-1,train,2
169,AUTOAI,Z.P11-1,train,6
170,AUTOAI,FAQ.3,train,2
171,AUTOAI,Z.C5-1-1-1,train,5
172,AUTOAI,Z.P3,train,1
173,AUTOAI,Z.P7,train,1
174,AUTOAI,Z.C3-1,train,4
175,AUTOAI,Z.P10,train,6
176,AUTOAI,Z.C9,train,1
177,AUTOAI,Z.P10-2-1,train,1
178,AUTOAI,Z.C7-1,train,1
179,AUTOAI,Z.C8,train,1
180,AUTOAI,Z.P8-1-2-1,train,1
181,AUTOAI,Z.C5-1-1,train,1
182,AUTOAI,Z.C6-2,train,2
183,AUTOAI,Z.C13-1,train,1
184,AUTOAI,Z.C14,train,1
185,AUTOAI,Z.C6-3,train,1
186,AUTOAI,Z.C6-2-1,train,1
187,AUTOAI,Z.C13,train,1
188,AUTOAI,Z.P7-1,train,1
189,REFAI,Z.P6,train,2
190,REFAI,Z.P1-3-1,train,1
191,REFAI,Z.P2,train,11
192,REFAI,Z.K1-1,train,2
193,REFAI,Z.K5,train,9
194,REFAI,NZ.K10,train,1
195,REFAI,Z.K1,train,4
196,REFAI,Z.K9,train,4
197,REFAI,Z.P3-3-1,train,1
198,REFAI,Z.K8,train,3
199,REFAI,Z.K4,train,2
200,REFAI,Z.P2-2,train,1
201,REFAI,Z.K5-1,train,1
202,REFAI,Z.K6,train,1
203,REFAI,Z.K2,train,1
204,REFAI,Z.P5,train,3
205,REFAI,Z.P3,train,2
206,REFAI,FAQ.2,train,1
207,REFAI,Z.K3,train,2
208,REFAI,Z.P8,train,1
209,REFAI,Z.P9-1,train,1
210,REFAI,Z.K8-1,train,1
211,REFAI,Z.K1-1-1-1,train,1
212,REFAI,Z.P3-1,train,1
213,REFAI,Z.P4,train,1
214,REFAI,Z.P9,train,1
215,REFAI,Z.P1,train,1
216,REFAI,Z.K7,train,1
217,REFAI,Z.P11,train,1
218,REFAI,Z.P3-3,train,1
219,MEDAI,Z.P1-1-1,validation,2
220,MEDAI,Z.K6,validation,9
221,MEDAI,Z.P1,validation,12
222,MEDAI,Z.P5,validation,6
223,MEDAI,NZ.K10,validation,25
224,MEDAI,Z.K1,validation,20
225,MEDAI,Z.P2,validation,2
226,MEDAI,Z.K10,validation,11
227,MEDAI,Z.K7,validation,25
228,MEDAI,Z.P6,validation,9
229,MEDAI,Z.P4-1,validation,3
230,MEDAI,Z.K5-1,validation,3
231,MEDAI,Z.K8,validation,4
232,MEDAI,Z.K2,validation,9
233,MEDAI,Z.K14-1,validation,2
234,MEDAI,Z.K14,validation,9
235,MEDAI,Z.K15-1,validation,5
236,MEDAI,Z.P1-1,validation,4
237,MEDAI,Z.K3-1,validation,1
238,MEDAI,FAQ.6,validation,1
239,MEDAI,Z.K3,validation,12
240,MEDAI,FAQ.3,validation,4
241,MEDAI,Z.K18-1,validation,2
242,MEDAI,FAQ.2,validation,6
243,MEDAI,Z.K4,validation,1
244,MEDAI,Z.P7-1,validation,5
245,MEDAI,Z.P3,validation,2
246,MEDAI,Z.K10-2,validation,1
247,MEDAI,Z.P7,validation,1
248,MEDAI,Z.K12,validation,2
249,MEDAI,Z.K15,validation,8
250,MEDAI,FAQ.1,validation,2
251,MEDAI,Z.K16,validation,7
252,MEDAI,Z.K19,validation,4
253,MEDAI,Z.K13,validation,4
254,MEDAI,FAQ.8,validation,2
255,MEDAI,FAQ.7,validation,5
256,MEDAI,Z.K7-1,validation,1
257,MEDAI,Z.P4,validation,4
258,MEDAI,Z.K18,validation,2
259,MEDAI,Z.K9,validation,3
260,MEDAI,Z.K8-1,validation,1
261,MEDAI,Z.P3-1,validation,2
262,MEDAI,NZ.K9,validation,2
263,MEDAI,NZ.K11,validation,1
264,MEDAI,NZ.K6,validation,1
265,JURAI,Z.P1-1,validation,6
266,JURAI,Z.K6-1-1,validation,6
267,JURAI,Z.P4,validation,1
268,JURAI,Z.P2,validation,5
269,JURAI,Z.P4-1,validation,4
270,JURAI,Z.K11,validation,1
271,JURAI,Z.K6,validation,2
272,JURAI,Z.P3-1,validation,2
273,JURAI,NZ.K10,validation,2
274,JURAI,Z.K6-1-1-1,validation,2
275,JURAI,Z.K2,validation,2
276,JURAI,Z.P2-1,validation,1
277,JURAI,Z.K4,validation,4
278,JURAI,Z.K14,validation,2
279,JURAI,Z.K10,validation,1
280,JURAI,Z.P1-2,validation,2
281,JURAI,Z.P1-1-1,validation,2
282,JURAI,Z.K6-2,validation,1
283,JURAI,Z.P8,validation,1
284,JURAI,Z.P1,validation,3
285,JURAI,Z.K9-1,validation,1
286,JURAI,Z.P3,validation,1
287,AUTOAI,Z.P12-1-3,validation,3
288,AUTOAI,Z.P11,validation,19
289,AUTOAI,Z.P8-1-2,validation,10
290,AUTOAI,Z.C12,validation,1
291,AUTOAI,Z.C11,validation,4
292,AUTOAI,Z.C4-1,validation,2
293,AUTOAI,Z.C3-2,validation,3
294,AUTOAI,Z.C2-1,validation,3
295,AUTOAI,Z.C3,validation,9
296,AUTOAI,Z.C5-1-1-1-1,validation,1
297,AUTOAI,Z.P10-1,validation,2
298,AUTOAI,Z.P10,validation,5
299,AUTOAI,Z.P8,validation,3
300,AUTOAI,Z.P2,validation,2
301,AUTOAI,Z.P6-1,validation,2
302,AUTOAI,Z.P4-1,validation,4
303,AUTOAI,Z.P2-1,validation,3
304,AUTOAI,Z.C5-3,validation,4
305,AUTOAI,Z.C10,validation,1
306,AUTOAI,Z.P12,validation,8
307,AUTOAI,Z.P12-2,validation,1
308,AUTOAI,Z.C7,validation,2
309,AUTOAI,Z.P9-1,validation,2
310,AUTOAI,Z.P8-1-1,validation,2
311,AUTOAI,NZ.K10,validation,1
312,AUTOAI,Z.P6,validation,2
313,AUTOAI,Z.P11-1,validation,1
314,AUTOAI,Z.C8,validation,1
315,AUTOAI,Z.C5-2,validation,2
316,AUTOAI,Z.C10-1,validation,1
317,AUTOAI,Z.C5-1,validation,1
318,AUTOAI,Z.P9,validation,3
319,AUTOAI,Z.C4,validation,4
320,AUTOAI,Z.C6,validation,3
321,AUTOAI,Z.C5,validation,1
322,AUTOAI,Z.P11-1-1,validation,2
323,AUTOAI,Z.P8-1,validation,1
324,AUTOAI,Z.C11-1,validation,2
325,AUTOAI,Z.P10-1-1,validation,1
326,AUTOAI,Z.P4,validation,1
327,AUTOAI,Z.P1,validation,1
328,AUTOAI,Z.C4-1-2,validation,1
329,AUTOAI,Z.P15,validation,1
330,REFAI,Z.K3,validation,1
331,REFAI,Z.P2,validation,3
332,REFAI,Z.P1,validation,2
333,REFAI,Z.K5,validation,2
334,REFAI,Z.P6,validation,1
335,MEDAI,Z.P3,test,3
336,MEDAI,Z.P5,test,8
337,MEDAI,Z.K1,test,9
338,MEDAI,Z.K19,test,2
339,MEDAI,NZ.K4,test,1
340,MEDAI,Z.K5-1,test,3
341,MEDAI,NZ.K9,test,3
342,MEDAI,NZ.K10,test,23
343,MEDAI,Z.K10-2,test,3
344,MEDAI,Z.K10,test,7
345,MEDAI,Z.K7,test,12
346,MEDAI,Z.K2,test,6
347,MEDAI,Z.K2-4,test,1
348,MEDAI,Z.K18-1,test,2
349,MEDAI,Z.K14,test,5
350,MEDAI,Z.K14-1,test,1
351,MEDAI,Z.K3,test,7
352,MEDAI,Z.K8,test,3
353,MEDAI,Z.K4-1,test,3
354,MEDAI,Z.P4-1,test,3
355,MEDAI,Z.P5-1,test,3
356,MEDAI,Z.P1-1,test,2
357,MEDAI,Z.K18,test,3
358,MEDAI,Z.P6,test,7
359,MEDAI,Z.K16,test,5
360,MEDAI,Z.K16-1,test,1
361,MEDAI,Z.P1,test,2
362,MEDAI,Z.P1-1-1,test,1
363,MEDAI,Z.K3-1,test,3
364,MEDAI,FAQ.3,test,2
365,MEDAI,Z.K6,test,6
366,MEDAI,NZ.K6,test,1
367,MEDAI,Z.K15,test,2
368,MEDAI,FAQ.1,test,1
369,MEDAI,Z.P3-1,test,1
370,MEDAI,Z.K12,test,2
371,MEDAI,NZ.K8,test,4
372,MEDAI,Z.K13,test,2
373,MEDAI,Z.P2,test,4
374,MEDAI,Z.P4,test,2
375,MEDAI,Z.P7-1,test,3
376,MEDAI,Z.K11,test,2
377,MEDAI,NZ.K3,test,2
378,MEDAI,FAQ.7,test,2
379,MEDAI,FAQ.5,test,1
380,MEDAI,NZ.K11,test,2
381,MEDAI,Z.K5,test,1
382,MEDAI,FAQ.2,test,2
383,MEDAI,NZ.P1,test,2
384,MEDAI,Z.K15-1,test,2
385,MEDAI,Z.K1-1,test,1
386,MEDAI,Z.K8-1,test,1
387,MEDAI,Z.P3-1-1,test,1
388,MEDAI,Z.K7-1,test,1
389,MEDAI,FAQ.8,test,2
390,MEDAI,Z.P3-2,test,1
391,MEDAI,Z.K13-1,test,1
392,MEDAI,Z.K20,test,1
393,MEDAI,Z.P7,test,1
394,MEDAI,FAQ.6,test,1
395,MEDAI,Z.K9,test,1
396,MEDAI,Z.K4,test,1
397,MEDAI,Z.P6-1,test,1
398,JURAI,Z.P3-1,test,2
399,JURAI,Z.P3-1-1,test,3
400,JURAI,Z.K3-2,test,3
401,JURAI,Z.K10-1,test,1
402,JURAI,Z.P2,test,1
403,JURAI,Z.K4-1,test,1
404,JURAI,Z.P4,test,1
405,JURAI,Z.P1-2,test,1
406,JURAI,Z.K2,test,3
407,JURAI,Z.P1,test,4
408,JURAI,Z.P8,test,3
409,JURAI,NZ.K10,test,3
410,JURAI,Z.P1-1,test,4
411,JURAI,Z.P4-1,test,4
412,JURAI,Z.P3,test,1
413,JURAI,Z.K6-2,test,2
414,JURAI,Z.P1-1-1,test,1
415,JURAI,Z.P2-2,test,1
416,JURAI,Z.K6-1,test,2
417,JURAI,Z.K14,test,1
418,JURAI,Z.K4,test,2
419,JURAI,Z.P8-2,test,2
420,JURAI,FAQ.1,test,1
421,JURAI,Z.K10,test,2
422,JURAI,Z.P2-1,test,1
423,JURAI,Z.K5,test,1
424,JURAI,Z.K6,test,2
425,JURAI,Z.K9,test,3
426,JURAI,Z.K12,test,1
427,JURAI,Z.K6-1-1-1,test,1
428,JURAI,Z.K7,test,1
429,JURAI,Z.K16,test,1
430,JURAI,Z.K9-1,test,1
431,JURAI,Z.K2-1,test,1
432,JURAI,Z.K3,test,1
433,JURAI,Z.K15,test,1
434,JURAI,Z.K11,test,1
435,JURAI,Z.K6-1-1,test,1
436,AUTOAI,Z.C8-1,test,4
437,AUTOAI,Z.C6-3-1,test,1
438,AUTOAI,Z.P10-1,test,1
439,AUTOAI,Z.P9,test,2
440,AUTOAI,Z.C11,test,3
441,AUTOAI,Z.P4,test,1
442,AUTOAI,Z.P12-1-2,test,1
443,AUTOAI,Z.C10-1,test,1
444,AUTOAI,Z.C5-2,test,3
445,AUTOAI,Z.P8-1-2,test,3
446,AUTOAI,Z.C4-1,test,1
447,AUTOAI,Z.P11,test,14
448,AUTOAI,NZ.K10,test,4
449,AUTOAI,Z.P6,test,2
450,AUTOAI,Z.C4-1-2,test,2
451,AUTOAI,Z.C13-1,test,2
452,AUTOAI,Z.C3,test,7
453,AUTOAI,Z.C12,test,2
454,AUTOAI,Z.C6,test,5
455,AUTOAI,Z.C10,test,2
456,AUTOAI,Z.P12-2,test,1
457,AUTOAI,Z.P6-1,test,4
458,AUTOAI,Z.P10-1-1,test,4
459,AUTOAI,Z.P4-1,test,2
460,AUTOAI,Z.P11-1-1,test,2
461,AUTOAI,Z.C7-1,test,1
462,AUTOAI,Z.C3-2,test,2
463,AUTOAI,Z.C11-1,test,2
464,AUTOAI,Z.P12-1,test,1
465,AUTOAI,Z.P15,test,1
466,AUTOAI,Z.C7,test,4
467,AUTOAI,Z.P8-1-1,test,2
468,AUTOAI,Z.P12,test,3
469,AUTOAI,Z.P9-1,test,2
470,AUTOAI,Z.P14,test,1
471,AUTOAI,Z.P1,test,4
472,AUTOAI,Z.P2-1,test,1
473,AUTOAI,Z.C8,test,1
474,AUTOAI,Z.C3-1,test,2
475,AUTOAI,FAQ.3,test,2
476,AUTOAI,Z.C5-1-1-1,test,2
477,AUTOAI,Z.C5,test,1
478,AUTOAI,Z.C5-1-1-1-1,test,1
479,AUTOAI,Z.P8-1,test,3
480,AUTOAI,Z.C5-3,test,3
481,AUTOAI,Z.C2-1,test,4
482,AUTOAI,Z.P2,test,2
483,AUTOAI,Z.P12-1-3,test,2
484,AUTOAI,Z.C4,test,2
485,AUTOAI,Z.P10,test,1
486,AUTOAI,Z.P8,test,3
487,AUTOAI,Z.C5-1,test,1
488,AUTOAI,Z.P10-2,test,1
489,AUTOAI,Z.P11-1,test,2
490,AUTOAI,Z.C6-2,test,1
491,AUTOAI,Z.P7,test,1
492,AUTOAI,Z.P7-1,test,2
493,AUTOAI,Z.P5,test,2
494,AUTOAI,Z.C14,test,1
495,AUTOAI,Z.P10-2-1,test,1
496,AUTOAI,Z.P1-1,test,1
497,AUTOAI,Z.C6-2-1,test,1
498,AUTOAI,Z.P8-1-2-1,test,1
499,AUTOAI,Z.C13,test,1
500,REFAI,Z.P6,test,1
501,REFAI,Z.P3,test,1
502,REFAI,Z.K1,test,1
503,REFAI,Z.K3,test,2
504,REFAI,Z.K9,test,2
505,REFAI,Z.P3-3,test,1
506,REFAI,Z.K5,test,2
507,REFAI,Z.K8,test,1
508,REFAI,Z.P1-3-1,test,1
509,REFAI,Z.P2,test,2
510,REFAI,Z.P5,test,2
511,REFAI,Z.K6,test,1
512,REFAI,Z.K4,test,1
513,REFAI,Z.K2,test,1
514,REFAI,Z.P1,test,2
515,REFAI,Z.K1-1,test,1
516,REFAI,Z.P4,test,1
517,REFAI,Z.P9,test,1
518,REFAI,FAQ.2,test,1
519,REFAI,Z.P3-3-1,test,1
